title,ad_id,desc,city,country
Caretaker/Cleaner Naas,5052199131,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the Register your interest button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties Keeping out side and indoor areas clean and tidyr>Ensure all Health & Safety at work are adhered tor>Report issues related to buildings electrical plumbing issues to Supervisorr>Ensure materials needed for cleaning are orderedr>Carry out light maintenance of the buildingsr>Carry out any other relevant duties assigned to positionr> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Naas Kildare Ireland,Ireland
Caretaker/Groundsperson - Castlemitchell GAA Club,5053391505,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties Duties to include grass cutting and pitch marking, strimming, spraying etche position will also include cleaning, painting and mintenance of clubhouse and surrounding areasr> :Castlemitchell GAA Clubr> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Athy Kildare Ireland,Ireland
Landscaping & General Maintenance - CE Scheme,5055813037,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groupsour eligibility will have to be verified by the Departmentr> You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centrer> Applicants should supply suitable character references and be prepared to complete a Garda vetting application formr> Duties Duties will include:Landscaping and general maintenance dutiesull Training will be providedr> no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",StratfordonSlaney Ballynatone Kildare,Ireland
Caretaker / Gardener,5077569967,"Application Details Share Eligibility to participate on CE is generally linked to those who are years or over and in receipt of a qualifying social welfare payment for 1 year or more or 18 years and over for certain disadvantaged groups. Your eligibility will have to be verified by the Department. You can register your interest by selecting the -Register your interest- button or you can a case officer in your local Intreo Centre. Applicants should supply suitable character references and be prepared to complete a Garda vetting application form. Duties This is a developmental opportunity, no experience necessary. Accredited training will be provided to support your career.Responsibilities and Duties:. Open and lock up premises as agreed with the sponsor and Supervisor - Using the Care takers diary to set up training rooms for use. Ensure area is clean and tidy with adequate supplies. - Ensure heating system is working as and when required - Under the instruction of the CE supervisor carry out maintenance on the buildings - Ensure all health and safety at work conditions are applied and adhered to - Maintain equipment required for indoor / outdoor maintenance and upkeep - Store unused paints/materials/tools safely - Ensure the safe use of tools - Ensure there is safe signage where required for -work in progress-. - Keep outside and inside areas clean and tidy - Report issues related to the building /electrical/plumbing issues to CE Supervisor - Report matters to CE Supervisor to ensure required materials are supplied. - Carry out any other duties relevant to this position as assigned . Carry out specific duties in line with Covid-19 restrictions as requested . Weeding - To include Identifying weeds & root systems; Dealing weeds e.g. pull out, use approved weed-killers only . Cut grass / Hedge Trimming / Edging - Identify the right tool for the job; Use tools safely & correctly; Pay attention to detail . Sowing / Planting - Read labels or packets for instructions; Recognize different compost types; choose correct containers for sowing / planting out; Sow / Plant out at the correct time of year; Keep records of plants sown - , date, flowering time etc. . Take care of plants - Recognize when watering and misting are needed; Notice pests and deal with them; Notice diseases and deal with them; the safe use of pesticides Polytunnel - Assist in setting up polytunnel & ground preparation; general care of tunnel; designing planting; care of plants/watering etc.; identifying any areas needed maintenance & fixing where possible where appropriate. Attending to all health & safety Requirements - Store and use tools safely; Store pesticides safely Reporting any issues to supervisor Discussing planting designs, upcoming tasks etc. with supervisor The position will be based at County Kildare LEADER Partnership CKLP, at its premises in Kildare Town:CKLP, Presentation Convent, Meadow Road, Kildare.For more information the CE Supervisor:Paula O' Connor, - 0210160 paulacountykildarelp.ie no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.",Presentation Convent Kildare Ireland,Ireland
Landscaping Operative,5458474466,"Job description * Job Role: Soft landscaping * Salary: £22,000 - £26,000 Per Annum Responsibilities and Duties Based around London, on various sites to carry out soft landscaping projects to the best of your ability including turfing and planting. Qualifications and Skills * Must have previous background experience of carrying out commercial scale, construction site-based soft landscaping operations. * Complete tasks such as turfing, seeding and planting etc. * NVQ level 2 qualification in Landscaping industry * CSCS Card Benefits * Permanent position, PAYE, Holiday pay * To be part of a growing company * Pension Scheme * Training and development * Salary negotiable dependent on experience * Monday-Friday working hours To apply please contact: (phone number removed) or submit your CV no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.","London, London Ireland,",Ireland
Grounds Maintenance Operative/ Gardener,5458472846,"Grounds Maintenance Operatives/ Gardeners required to work with leading and ambitious grounds maintenance provider based in the Welwyn Garden City and the wider Hertfordshire region. Start date: ASAP Hours: Hours can vary from day to day depending on location of site, travel time paid. Minimum 40 hours Mon - Fri. Regular additional summer hours. Contract: March to October fixed-term contracts and permanent vacancies available Pay rate: £9.85 - £11.50 per hour dependant on the position and contract type Role: We are looking for a professional grounds maintenance operative/ gardener to lead a mobile team of two providing ground maintenance services within the Birmingham region. You will visit up to six commercial sites a day delivering high-quality grounds maintenance services including grass cutting, hedge/shrub pruning and weed removal/treatment. Benefits: Once taken on permanently the following company benefits will be applicable; Competitive salary, discretionary Christmas bonus, paid break time, regular additional summer hours, excellent opportunities for promotion, training and development (including annual reviews and PA1/PA6 spraying licences), pensions are available in line with prevailing legislation, Employee Assistance Programme, second opinion medical hotline, family day, death in service benefit is payable whilst commercially available, collaborative approach via regular team meetings and staff involvement. Interested? Call Sam Hayes on (phone number removed)/ / (phone number removed) or email no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.","Welwyn Garden City, Welwyn Garden City, Hertfordshire Ireland,",Ireland
Pipefitter,5458479755,"Plumber/ Pipefitter - Didcot, Oxfordshire - 3 months work - £21.50ph - Start Monday 21st March AndersElite need plumber / pipefitters for an upcoming data centre project in Didcot, Oxfordshire, starting Monday 21st March. This is a mechanical install project and will involve copper pressfit, ABS glued, above ground drainage, sanitary ware, chilled water as well as heating and domestic pipework installations. The project is expected to last approximately 3 months, with on average 45 hours paid per week (Monday to Friday). Pay rate is circa £21.50 per hour. Candidates must possess a valid CSCS or Jib skillcard. Please upload your CV or call Frank or Rich on (phone number removed) to apply. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.","Didcot, Didcot Ireland,",Ireland
Buildings Cleaner/Mobile Caretaker,5458478364,"1st Step Solutions have a requirement for an experienced Buildings Cleaner/Mobile Caretaker, based in Essex. Job Purpose: * To provide a mobile cleaning and caretaking service for communal areas within flats and Tower blocks town wide that we are scheduled to manage and clean on behalf of Housing Services. * Reporting to the Environmental Manager. * Liaison with team colleagues. Duties: * Provide a mobile caretaking /cleaning service as scheduled. * Using the appropriate equipment and materials as supplied, keep to scheduled cleaning tasks. * Clean methodically and safely, using warning signs. * Check all footpaths, forecourts, garage areas and communal rooms/areas are free of refuse and in a clean and tidy condition. * Leave areas bright, clean and safe for tenants. * Report damage and dumped rubbish giving clear descriptions of problems and location details. Chase outstanding problems. * Dangerous occurrences that need immediate attention, report to Repairs Centre or line manager using Mobile phone. * Liaise with tenants and manager when tenants report problems. Assist residence with day to day problems including responding to lift emergencies if appropriately trained. * Arrange for the deposal of items 'harmful to health' i.e. hypodermic syringes in the prescribed manner. * Report to the Cleansing Department any incidents of squatting or vandalism. * Report to Cleansing Department any instances of physical or verbal abuse, near misses or accidents. * Check lighting is working any lamps that need replacing using the safe working. practices. Remove covers and replace new lamp. * Check building for faults liaise, with customers on repairs. * Visual check of lifts report problems. * Provide a mobile caretaking /cleaning service as scheduled * Using the appropriate equipment & Materials as supplied, keep to scheduled cleaning tasks. * Clean methodically and safely, using warning signs * Check all footpaths, forecourts, Garage areas and communal Rooms / areas are free of refuse and in a clean and tidy condition. * Leave areas bright, clean and safe for tenants * Report damage and dumped rubbish giving clear descriptions of problems and location details. Chase outstanding problems. * Dangerous occurrences that need immediate attention, report to Repairs Centre or line manager using Mobile phone * Liaise with tenants and manager when tenants report problems. Assist residence with day to day problems including responding to lift emergencies if appropriately trained * Arrange for the deposal of items 'harmful to health' i.e. hypodermic syringes in the prescribed manner * Report to the Cleansing Department any incidents of squatting or Vandalism * Report to Cleansing Department any instances of physical or verbal abuse, near misses or accidents. * Check lighting is working any lamps that need replacing using the safe working practices. Remove covers and replace new lamp * Check building for faults liaise, with customers on repairs. * Visual check of lifts report problems. * Carry out minor repairs. * Ensure all alarms, security entrance systems and electrical cupboards are maintained in a secure and safe condition by inspection and testing. * Carry out minor repairs out in accordance with the guidelines and to the agreed standards, subject to receiving the appropriate training. * Assist senior caretaker with the delivery of fuel oils for heating systems. * Collect round report sheets every week from designated areas. * Read round report & work through schedule as printed. * Tick all work as completed. * Return sheet to designated area at end of working work. * Provide cover for other members of Cleansing Team. * Attend out of hours call out, on a rota basis. * Attend training courses as required. * Attend regular team briefings. * Participate in the annual staff development reviews. * Liaise with office staff on all relevant matters specifically breaches of tenancy agreement. * Carry out cleaning of Void properties as required by the Cleansing Department. * Carry out all the responsibilities the post with due regard the Equal Opportunity Policy. * Carry out any other duties as required. * All duties and responsibilities should be carried out in accordance with agreed Policy and Procedures, having regard to company's policy commitments to efficient service provision, promotion of Equal Opportunities and diversity, a Health & Safety culture, a customer focused approach and good employee relations. * Any other duties and responsibilities as may be determined after consultation between management and the post-holder, having always full regard for the service area's competiveness, efficiency and general viability. * Ensure your business area is presented in a manner that reflects the company image/values * Recognise health and safety matters as the highest priority in any job, task or work in which you are involved. * Work in a manner that will not endanger yourself or others through own actions. * Adhere to instructions and inform appropriate management if any health and safety conditions which may be considered unsafe are identified. Experience and Qualifications: Essential: * Basic literacy & numeracy skills. * Basic cleaning experience. * Basic knowledge and understanding of health & safety. * Understands the importance of the service quality provided to customers/clients. * Have an awareness and understanding of COSHH. * Have an awareness and understanding of Equality and Diversity. * Have good written and verbal communication skills. * Be polite, courteous, tactful conscientious & flexible. * Can use own initiative. * Able to work independently and as part of a team. * Able to undertake 'Call Out' duties. * To play a fundamental part in the Mobile Cleaning Teams and to support Caretakers in providing a complete and responsive cleaning service which complies with best value criteria. * Hold a current valid driving license. * Neat and tidy appearance. * Able to work out in all weathers. Desirable: * Repair & maintenance experience. * Basic familiarity with computer and keyboard. * BICS - Basic cleaning Certificate. * Trade Certificate. * Caretaking experience. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.","Harlow, Harlow, Essex Ireland,",Ireland
General Labourer,5458480502,"Labourer Our client is looking for a CSCS Labourer for work in Tutbury on Monday 7th march for a few weeks Requirements, skills & qualifications * Valid CSCS card * Own PPE The pay rate offered is £12 p/hour CIS To be considered for this role, please apply online or contact Steph on (phone number removed) CARTR no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.","Tutbury, Tutbury, Staffordshire Ireland,",Ireland
Tool Maker,5458478237,"Job Role: Tool Maker Location: South Molton Salary: Upon application Hours: Monday- Friday, Permanent Summary: Draw, design and manufacture of jigs, fixtures, Mould and press tooling etc for internal use at South Molton. To contribute and work in a team environment within the Tool-Room department. Able and willing to apply lean tools and activities throughout Job function Key responsibilities: Support internal customers with the design and manufacture of tooling requirements, to suit their needs. Produce one off or small batch quantities, drive right first-time expectations Utilising manual machining. (Centre Lathe, Mill, Grinder, Jig Borer etc.) Programming of CNC, milling, turning, EDM & WEDM will be expected. Able to evaluate and detect route cause issues, equally suggest improvements to enhance current tooling Develop & maintain close working relationship with all colleagues Prepared to be flexible with all aspects of the role Experience Requirements: Experience of Toolmaking essential Experienced working with or creating both 2D and 3D drawings Demonstrable knowledge of design and manufacture of jigs and fixtures essential Knowledge of lost wax mould tools and Press tools advantageous Basic understanding of IT skills, Microsoft Word and Excel advantageous Able to work using own initiative and unsupervised, also as part of a team Hydraulic, pneumatic or electrical knowledge desirable Experience with 3D printing desirable Good communication skillsQualification requirements: Served a recognised engineering apprenticeship or equivalent NVQ-based qualification ONC, BTEC or City & Guilds or ITEC If you feel you have the experience then please send us your CV or call us on (phone number removed). Cordant People are an equal opportunities employer. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.","South Molton, South Molton Ireland,",Ireland
CSCS General Labourer !!!!!,5458478393,"One of our client is currently looking for a general labourer to join their team working on a residential project in Danbury,Essex. Tasks will include keeping site tidy, Assisting trades as and when needed and more. Chosen candidates must have an own transport and full PPE. This project will be on going for a duration of six months with potential weekend work available. Working Days -Monday to Friday Working Hours -7:30 till 17:30 Skills Required CSCS General Labourer Keywords Labourer General Labourer General Construction worker Construction worker no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.","Danbury, Danbury Ireland,",Ireland
Relief Caretaker,5458478836,"Relief Caretakers - Vertas Derbyshire Limited To cover areas : Ripley, Ilkeston, Long Eaton and Sandiacre 0 Hours Per Week £9.72 per hour Are you a Caretaker with experience or would you like to be trained to be an exceptional Caretaker? We can help. Would you like to work for a Company who are fanatical about engaging our colleagues, improving their wellbeing and developing their careers? If the answer is yes to the previous questions, your new opportunity is awaiting you; We're looking for a dedicated Caretaker who wants to make a difference and thrives in a challenging environment. This is a fantastic opportunity to extend your experience, or to kickstart your career with extensive training in order for you to achieve your career goals. About us: Vertas is one of the fastest growing multi-services facilities management companies in the UK. Our passion is driven by putting our colleagues and customers at the heart of everything we do. Values and Behaviours: The Caretaker will have: * Great customer service and communication skills. * Passion for sustainability. * A Team player providing an excellent service across the Vertas Group. * The ability to make the best decisions with Vertas in mind. * Listening and responding to colleagues, customers and suppliers to achieve the best outcome. * The ability to adapt and respond to change in a growing organisation. Main responsibilities include: * Carrying out day-to-day maintenance and minor repairs. * Making sure that heating, lighting and alarm systems are working properly. * Carrying out and recording basic checks and maintaining Health and Safety records. * Monitoring site stocks. * Demonstrating Health and Safety awareness and have a willingness to attend training courses including Health and Safety (all training will be provided). * Using DIY and having an ability to carry out minor repairs, general maintenance and decorating capably and you will follow a planned maintenance programme. * Undertaking cleaning duties. Vertas is committed to safeguarding the welfare of children and the successful candidate will be required to apply for an Enhanced Disclosure from the Disclosure and Barring Service and declare any cautions, convictions, reprimands or final warnings which are not protected as defined by the Rehabilitation of Offenders Act 1974 (Exceptions) Order 1975 (as amended in 2013). Your Package: * £9.72 per hour. * Company pension scheme. * Lifeworks Staff discount scheme. * Job related training plus personal development opportunities. * Mental Health First Aiders support. * Employee Assistant Programme available 24/7. * Virtual GP Facility. * Smart Health Mental Health Support. * Online health check and fitness programme. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.","Ripley, Ripley, Derbyshire Ireland,",Ireland
Gardener,5458573837,"We need talented and passionate gardeners/ landscapers to work at a 5* luxury estate. How do you fancy working for a company with amazing benefits? Offering: · Private Health care for you and your family (including Dental, Optical, Physio, Counselling, Reflexology, Reiki and Gym membership discounts) · OVERTIME AVAILABLE · Retail discounts · Pension scheme · Referral Scheme · Season Ticket Loan · Training Courses for development · 28 days holiday per year! You will be working in the Chertsey, Surrey area. 40 hours per week, flexibility is essential, and you be required to work 8am-4:30pm across the week. Key responsibilities involve: * Maintaining hedges and gardens * Mowing lawns * Planting summer beds * Using commercial garden machinery As the location is remote and not serviced by public transport, it is essential that you have your own transport to get to and from work. If you’re a gardener/ landscaper looking for a new opportunity, then please APPLY TODAY to avoid missing out on this amazing opportunity…not to be missed! no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.","Chobham, Chobham, Surrey Ireland,",Ireland
Chargehand- Pipefitters,5458481828,"ERSG are currently recruiting for 5x Chargehands with pippefitting experience for a large construction project outside of Dublin. Duration of this project will exceed 12 months. Looking for someone to start ASAP. ersg are an equal opportunities employer; we are committed to promoting equality of opportunity for all job applicants. We do not discriminate against applicants on the basis of age, sex, race, disability, pregnancy, marital status, sexual orientation, gender reassignment or religious background; all decisions are based on merit. no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.","Dublin, Dublin Ireland,",Ireland
Landscape Labourer,5458472666,"JOB DESCRIPTION: Daniel Owen are a recruitment company that specialise in placing people within the construction, engineering , rail & maintenance industries. We are currently recruiting on behalf of a large nationwide construction company that specialises in both new build and refurbishment projects. Our client is looking for Labourers to assist them on multiple landscaping projects across Bristol. The works will consist of trimming, cutting and turfing. The client desires someone with a basic understanding of construction with a positive attitude and strong work ethic. This position has potential to progress into over a years work for the right candidate with daily use of a company van this role has the potential to go permanent with the contractor if desired. Typical working hours 7:30am to 16:30pm Monday to Friday. Job Requirements: PPE CSCS Driving Licence To apply or discuss in more detail please contact or call (phone number removed) REGION123 no -- Principals only. Recruiters, please don’t contact this job advertiser. no -- Please, no phone calls about this job! no -- Reposting this message elsewhere is NOT OK.","Bristol, Bristol Ireland,",Ireland
